entity_id,source_id,notes,created_by,updated_by
b80277f1-b07e-4f61-a0d8-aa49199b9d22,2,Operational analysis for major reservoir EPARK,1,
d8b41b79-06bf-4383-bf9f-bda6046194b3,1,Reservoir entity ESTMN from CalSim documentation,1,
d8b41b79-06bf-4383-bf9f-bda6046194b3,4,Physical characteristics and capacity estimates for ESTMN,1,
d8b41b79-06bf-4383-bf9f-bda6046194b3,2,Operational analysis for major reservoir ESTMN,1,
c248d6dc-0310-4479-b341-3ce2c52ad30e,1,Reservoir entity FOLSM from CalSim documentation,1,
c248d6dc-0310-4479-b341-3ce2c52ad30e,4,Physical characteristics and capacity estimates for FOLSM,1,
c248d6dc-0310-4479-b341-3ce2c52ad30e,2,Operational analysis for major reservoir FOLSM,1,
1b0b5992-c53b-4d58-b796-25169f3fe678,1,Reservoir entity FRDYC from CalSim documentation,1,
1b0b5992-c53b-4d58-b796-25169f3fe678,4,Physical characteristics and capacity estimates for FRDYC,1,
87c363f6-1a83-41d3-a624-836897c832a8,1,Reservoir entity FRMAN from CalSim documentation,1,
87c363f6-1a83-41d3-a624-836897c832a8,4,Physical characteristics and capacity estimates for FRMAN,1,
72cf7bbb-4e56-4b1d-8529-219f39be6f4c,1,Reservoir entity FRMDW from CalSim documentation,1,
72cf7bbb-4e56-4b1d-8529-219f39be6f4c,4,Physical characteristics and capacity estimates for FRMDW,1,
64fea0b2-5a83-4e68-99d0-3f11731a584f,1,Reservoir entity FRNCH from CalSim documentation,1,
64fea0b2-5a83-4e68-99d0-3f11731a584f,4,Physical characteristics and capacity estimates for FRNCH,1,
230f0a62-9c42-45af-96f0-f7bf169e27da,1,Reservoir entity GERLE from CalSim documentation,1,
230f0a62-9c42-45af-96f0-f7bf169e27da,4,Physical characteristics and capacity estimates for GERLE,1,
1c0316e8-27e4-4e47-a96c-49fe5048983c,1,Reservoir entity HHOLE from CalSim documentation,1,
1c0316e8-27e4-4e47-a96c-49fe5048983c,4,Physical characteristics and capacity estimates for HHOLE,1,
6a346d63-a77a-4e5d-a635-c646d852b0e5,1,Reservoir entity HNSLY from CalSim documentation,1,
6a346d63-a77a-4e5d-a635-c646d852b0e5,4,Physical characteristics and capacity estimates for HNSLY,1,
6a346d63-a77a-4e5d-a635-c646d852b0e5,2,Operational analysis for major reservoir HNSLY,1,
2b5c4dee-d289-4ea1-8c41-ef4f746a14d9,1,Reservoir entity ICEHS from CalSim documentation,1,
2b5c4dee-d289-4ea1-8c41-ef4f746a14d9,4,Physical characteristics and capacity estimates for ICEHS,1,
4ab19bb6-5336-43cb-9226-adc98ac2eeab,1,Reservoir entity INDVL from CalSim documentation,1,
4ab19bb6-5336-43cb-9226-adc98ac2eeab,4,Physical characteristics and capacity estimates for INDVL,1,
c50f4506-2f8b-4e76-8c4d-c9f8e649b2a8,1,Reservoir entity JKSMD from CalSim documentation,1,
c50f4506-2f8b-4e76-8c4d-c9f8e649b2a8,4,Physical characteristics and capacity estimates for JKSMD,1,
57cf4f7c-f533-44c8-972d-436c3a737fe8,1,Reservoir entity JNKSN from CalSim documentation,1,
57cf4f7c-f533-44c8-972d-436c3a737fe8,4,Physical characteristics and capacity estimates for JNKSN,1,
20afa418-58fc-4bb3-b005-b0d82ca991b3,1,Reservoir entity KSWCK from CalSim documentation,1,
20afa418-58fc-4bb3-b005-b0d82ca991b3,4,Physical characteristics and capacity estimates for KSWCK,1,
20afa418-58fc-4bb3-b005-b0d82ca991b3,2,Operational analysis for major reservoir KSWCK,1,
e59d32d2-0ae2-4df5-9aa9-29509335340d,1,Reservoir entity LBEAR from CalSim documentation,1,
e59d32d2-0ae2-4df5-9aa9-29509335340d,4,Physical characteristics and capacity estimates for LBEAR,1,
f5ecbaab-d67e-4b16-bcc6-a59a4d5a16d4,1,Reservoir entity LCBRF from CalSim documentation,1,
f5ecbaab-d67e-4b16-bcc6-a59a4d5a16d4,4,Physical characteristics and capacity estimates for LCBRF,1,
7fd17284-79b0-4a41-8480-114f1c31f38c,1,Reservoir entity LGRSV from CalSim documentation,1,
7fd17284-79b0-4a41-8480-114f1c31f38c,4,Physical characteristics and capacity estimates for LGRSV,1,
4cc3a1f6-2684-4a13-afc4-65be880e8645,1,Reservoir entity LKVLY from CalSim documentation,1,
4cc3a1f6-2684-4a13-afc4-65be880e8645,4,Physical characteristics and capacity estimates for LKVLY,1,
46b0e1f4-f364-4443-93a6-04797a7491bb,1,Reservoir entity LOONL from CalSim documentation,1,
46b0e1f4-f364-4443-93a6-04797a7491bb,4,Physical characteristics and capacity estimates for LOONL,1,
f2a759d9-d650-479f-8478-c7990ff32091,1,Reservoir entity LOSVQ from CalSim documentation,1,
f2a759d9-d650-479f-8478-c7990ff32091,4,Physical characteristics and capacity estimates for LOSVQ,1,
f2a759d9-d650-479f-8478-c7990ff32091,2,Operational analysis for major reservoir LOSVQ,1,
70c981e1-7d38-4925-be98-d06b2d77f5a5,1,Reservoir entity LWSTN from CalSim documentation,1,
70c981e1-7d38-4925-be98-d06b2d77f5a5,4,Physical characteristics and capacity estimates for LWSTN,1,
70c981e1-7d38-4925-be98-d06b2d77f5a5,2,Operational analysis for major reservoir LWSTN,1,
5dcc9d20-8968-4a22-a3d7-45c6a0a3d9d6,1,Reservoir entity LYONS from CalSim documentation,1,
5dcc9d20-8968-4a22-a3d7-45c6a0a3d9d6,4,Physical characteristics and capacity estimates for LYONS,1,
d0b0e250-3c2f-41f7-9a39-a75515db05e4,1,Reservoir entity MCLRE from CalSim documentation,1,
d0b0e250-3c2f-41f7-9a39-a75515db05e4,4,Physical characteristics and capacity estimates for MCLRE,1,
d0b0e250-3c2f-41f7-9a39-a75515db05e4,2,Operational analysis for major reservoir MCLRE,1,
50585271-9861-4dc5-807a-4f1a5df33576,1,Reservoir entity MDSTO from CalSim documentation,1,
50585271-9861-4dc5-807a-4f1a5df33576,4,Physical characteristics and capacity estimates for MDSTO,1,
50585271-9861-4dc5-807a-4f1a5df33576,2,Operational analysis for major reservoir MDSTO,1,
68ec536d-bd0e-4cc8-bd67-bf321e0d73a6,1,Reservoir entity MELON from CalSim documentation,1,
68ec536d-bd0e-4cc8-bd67-bf321e0d73a6,4,Physical characteristics and capacity estimates for MELON,1,
68ec536d-bd0e-4cc8-bd67-bf321e0d73a6,2,Operational analysis for major reservoir MELON,1,
87c9dac4-3a7b-4015-9ae6-27d619512d38,1,Reservoir entity MERLC from CalSim documentation,1,
87c9dac4-3a7b-4015-9ae6-27d619512d38,4,Physical characteristics and capacity estimates for MERLC,1,
9a715e50-d2a3-4272-9eb2-2572142459e3,1,Reservoir entity MLRTN from CalSim documentation,1,
9a715e50-d2a3-4272-9eb2-2572142459e3,4,Physical characteristics and capacity estimates for MLRTN,1,
9a715e50-d2a3-4272-9eb2-2572142459e3,2,Operational analysis for major reservoir MLRTN,1,
f8408d5e-9d45-4003-ae18-1d09f3da67bb,1,Reservoir entity MTMDW from CalSim documentation,1,
f8408d5e-9d45-4003-ae18-1d09f3da67bb,4,Physical characteristics and capacity estimates for MTMDW,1,
18a89859-f1e3-4f43-8059-8c36111b7d59,1,Reservoir entity NBLDB from CalSim documentation,1,
18a89859-f1e3-4f43-8059-8c36111b7d59,4,Physical characteristics and capacity estimates for NBLDB,1,
18a89859-f1e3-4f43-8059-8c36111b7d59,2,Operational analysis for major reservoir NBLDB,1,
f2291bbc-9050-4bf1-a866-5dcfdd119801,1,Reservoir entity NHGAN from CalSim documentation,1,
f2291bbc-9050-4bf1-a866-5dcfdd119801,4,Physical characteristics and capacity estimates for NHGAN,1,
f2291bbc-9050-4bf1-a866-5dcfdd119801,2,Operational analysis for major reservoir NHGAN,1,
44f7f0b3-cc92-423d-93cf-6a109adcb26f,1,Reservoir entity NTOMA from CalSim documentation,1,
44f7f0b3-cc92-423d-93cf-6a109adcb26f,4,Physical characteristics and capacity estimates for NTOMA,1,
44f7f0b3-cc92-423d-93cf-6a109adcb26f,2,Operational analysis for major reservoir NTOMA,1,
96371010-8a6f-414a-b3bd-a5d4f8ac60c7,1,Reservoir entity OROVL from CalSim documentation,1,
96371010-8a6f-414a-b3bd-a5d4f8ac60c7,4,Physical characteristics and capacity estimates for OROVL,1,
96371010-8a6f-414a-b3bd-a5d4f8ac60c7,2,Operational analysis for major reservoir OROVL,1,
73cb9bc6-867b-4592-ae97-e4eabd2115d6,1,Reservoir entity PARDE from CalSim documentation,1,
73cb9bc6-867b-4592-ae97-e4eabd2115d6,4,Physical characteristics and capacity estimates for PARDE,1,
73cb9bc6-867b-4592-ae97-e4eabd2115d6,2,Operational analysis for major reservoir PARDE,1,
c55f4727-1c57-4934-9d17-5e47cf8167bf,1,Reservoir entity PCRST from CalSim documentation,1,
